close,contract,date,open,rolled
3395.2,IF2409.CCFX,2024-07-24,3415.0,0
3371.8,IF2409.CCFX,2024-07-25,3386.0,0
3391.4,IF2409.CCFX,2024-07-26,3380.2,0
3376.0,IF2409.CCFX,2024-07-29,3388.0,0
3353.2,IF2409.CCFX,2024-07-30,3362.8,0
3441.0,IF2409.CCFX,2024-07-31,3358.4,0
3414.2,IF2409.CCFX,2024-08-01,3442.0,0
3373.2,IF2409.CCFX,2024-08-02,3393.0,0
3336.0,IF2409.CCFX,2024-08-05,3357.0,0
3329.2,IF2409.CCFX,2024-08-06,3368.0,0
3325.2,IF2409.CCFX,2024-08-07,3322.2,0
3331.6,IF2409.CCFX,2024-08-08,3320.2,0
3317.2,IF2409.CCFX,2024-08-09,3351.0,0
3318.4,IF2409.CCFX,2024-08-12,3312.6,0
3323.0,IF2409.CCFX,2024-08-13,3324.0,0
3294.8,IF2409.CCFX,2024-08-14,3323.0,0
3331.4,IF2409.CCFX,2024-08-15,3289.8,0
3335.2,IF2409.CCFX,2024-08-16,3333.6,0
3348.2,IF2409.CCFX,2024-08-19,3335.2,0
3320.0,IF2409.CCFX,2024-08-20,3353.4,0
3312.4,IF2409.CCFX,2024-08-21,3315.0,0
3301.8,IF2409.CCFX,2024-08-22,3315.2,0
3321.8,IF2409.CCFX,2024-08-23,3300.6,0
3320.8,IF2409.CCFX,2024-08-26,3327.0,0
3304.2,IF2409.CCFX,2024-08-27,3313.4,0
3281.4,IF2409.CCFX,2024-08-28,3300.0,0
3275.2,IF2409.CCFX,2024-08-29,3271.0,0
3322.4,IF2409.CCFX,2024-08-30,3275.0,0
3259.8,IF2409.CCFX,2024-09-02,3309.0,0
3267.0,IF2409.CCFX,2024-09-03,3262.8,0
3250.0,IF2409.CCFX,2024-09-04,3260.0,0
3254.0,IF2409.CCFX,2024-09-05,3257.0,0
3226.6,IF2409.CCFX,2024-09-06,3261.0,0
3189.2,IF2409.CCFX,2024-09-09,3215.0,0
3188.2,IF2409.CCFX,2024-09-10,3190.0,0
3183.0,IF2409.CCFX,2024-09-11,3180.6,0
3174.8,IF2409.CCFX,2024-09-12,3189.0,0
3158.0,IF2409.CCFX,2024-09-13,3177.0,0
3171.6,IF2409.CCFX,2024-09-18,3163.0,0
3198.4,IF2409.CCFX,2024-09-19,3180.0,0
3193.6,IF2410.CCFX,2024-09-20,3186.8,1
3206.8,IF2410.CCFX,2024-09-23,3184.2,0
3359.8,IF2410.CCFX,2024-09-24,3244.0,0
3404.6,IF2410.CCFX,2024-09-25,3409.8,0
3588.0,IF2410.CCFX,2024-09-26,3405.0,0
3827.8,IF2410.CCFX,2024-09-27,3661.2,0
4160.6,IF2410.CCFX,2024-09-30,3937.0,0
4261.2,IF2410.CCFX,2024-10-08,4535.0,0
3934.0,IF2410.CCFX,2024-10-09,4188.0,0
4010.8,IF2410.CCFX,2024-10-10,4000.0,0
3904.4,IF2410.CCFX,2024-10-11,3999.8,0
3963.2,IF2410.CCFX,2024-10-14,3930.2,0
